Community_Area,CCVI_Score,CCVI_Category,before_pick_count,after_pick_count,pick_change_percent,case_rate,pchange_percentage_II
1,30.9,LOW,1467,197,86.57123381,6900.025,-86.57123381
2,36,MEDIUM,2604,300,88.47926267,7678.814286,-88.47926267
3,24.4,LOW,11861,875,92.62288171,6114.75,-92.62288171
4,15,LOW,745,116,84.4295302,6937.942857,-84.4295302
5,4,LOW,273,50,81.68498168,7451.82,-81.68498168
6,5.2,LOW,101774,2639,97.40699982,6487.733333,-97.40699982
7,7.3,LOW,95064,2657,97.20504081,7571.48,-97.20504081
8,12.1,LOW,3751873,139817,96.27340798,7478.375,-96.27340798
9,24.2,LOW,5,0,100,9295.9,-100
10,31.2,LOW,130,20,84.61538462,9255.218182,-84.61538462
11,25.6,LOW,1432,46,96.7877095,9262.08,-96.7877095
12,18.9,LOW,88,18,79.54545455,8811.833333,-79.54545455
13,40.6,MEDIUM,700,296,57.71428571,8455.44,-57.71428571
14,38.2,MEDIUM,268,89,66.79104478,9257.166667,-66.79104478
15,34.3,MEDIUM,775,125,83.87096774,11723.675,-83.87096774
16,30.3,LOW,1645,992,39.69604863,8899.55,-39.69604863
17,36,MEDIUM,22,7,68.18181818,8153.6,-68.18181818
18,52.8,HIGH,12,0,100,8445.45,-100
19,52.4,HIGH,37,16,56.75675676,10824.22,-56.75675676
20,50.3,HIGH,21,9,57.14285714,11531.9,-57.14285714
21,28.5,LOW,5199,502,90.34429698,9377.233333,-90.34429698
22,27.7,LOW,2688,146,94.56845238,9327.944444,-94.56845238
23,52.4,HIGH,25,27,-8,9011.4,8
24,18.2,LOW,18646,481,97.42035825,8208.128571,-97.42035825
25,52.9,HIGH,99,45,54.54545455,9253.36,-54.54545455
26,47.4,MEDIUM,13,0,100,8927.133333,-100
27,47.9,HIGH,557,16,97.12746858,8322.35,-97.12746858
28,20,LOW,1352658,63575,95.29999453,8249.490909,-95.29999453
29,58.5,HIGH,101,13,87.12871287,9441.525,-87.12871287
30,58.2,HIGH,10,8,20,11586.86667,-20
31,48.9,HIGH,49,15,69.3877551,7268.5,-69.3877551
32,8.3,LOW,3658320,158594,95.66484069,7503.1,-95.66484069
33,15,LOW,346747,6903,98.00921133,6049.95,-98.00921133
34,30.9,LOW,2513,14,99.44289694,6372.833333,-99.44289694
35,36,MEDIUM,1149,169,85.29155788,6519.55,-85.29155788
36,31.3,LOW,38,49,-28.94736842,5890,28.94736842
37,50.1,HIGH,6,15,-150,7621.925,150
38,41.3,MEDIUM,74,101,-36.48648649,5890,36.48648649
39,24.9,LOW,910,149,83.62637363,5890,-83.62637363
40,41.2,MEDIUM,14,28,-100,6119.25,100
41,16.7,LOW,10013,220,97.80285629,5672.266667,-97.80285629
42,37.8,MEDIUM,91,32,64.83516484,6127.7,-64.83516484
43,45.6,MEDIUM,75,81,-8,6174.1,8
44,43,MEDIUM,86,126,-46.51162791,6508.1,46.51162791
45,44.2,MEDIUM,15,16,-6.666666667,7009.433333,6.666666667
46,43.8,MEDIUM,30,6,80,4920.466667,-80
47,58.4,HIGH,13,3,76.92307692,7377.75,-76.92307692
48,46.1,MEDIUM,70,25,64.28571429,7009.433333,-64.28571429
49,54.7,HIGH,50,32,36,6830.125,-36
50,46.4,MEDIUM,14,20,-42.85714286,7126.6,42.85714286
51,52.5,HIGH,32,32,0,7743.75,0
52,43.9,MEDIUM,11,9,18.18181818,6027.933333,-18.18181818
53,49.2,HIGH,18,14,22.22222222,5104.033333,-22.22222222
54,35.6,MEDIUM,9,7,22.22222222,5742.433333,-22.22222222
55,35.8,MEDIUM,0,1,,6027.933333,0
56,49,HIGH,195901,5457,97.21440932,13344.66667,-97.21440932
57,53.3,HIGH,8,14,-75,13639.2,75
58,48.5,HIGH,68,3,95.58823529,11462.6,-95.58823529
59,36.8,MEDIUM,14754,1032,93.0052867,11219.8,-93.0052867
60,21.6,LOW,35,15,57.14285714,8680.233333,-57.14285714
61,59.7,HIGH,6,10,-66.66666667,9819.94,66.66666667
62,48.6,HIGH,0,1,,13963.1,0
63,58.8,HIGH,5,2,60,11846.575,-60
64,42.7,MEDIUM,6,13,-116.6666667,13197.4,116.6666667
65,48.5,HIGH,5,7,-40,12039.86667,40
66,57.8,HIGH,8,17,-112.5,10714.28,112.5
67,63.7,HIGH,17,12,29.41176471,8736.466667,-29.41176471
68,55.3,HIGH,13,28,-115.3846154,8230.95,115.3846154
69,46,MEDIUM,16,21,-31.25,6428.3,31.25
70,45.1,MEDIUM,26,0,100,9491.666667,-100
71,48.2,HIGH,21,121,-100.1,7737.6,100
72,27.4,LOW,15,20,-33.33333333,8442.366667,33.33333333
73,53.2,HIGH,40,25,37.5,7017.866667,-37.5
74,30.5,LOW,6,0,100,10897.8,-100
75,43.3,MEDIUM,15,21,-40,8400.7,40
76,19,LOW,977124,35052,96.41273779,5455.571429,-96.41273779
77,17.3,LOW,3527,397,88.74397505,5656.666667,-88.74397505
