Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
08/10/2020,376,1,30,41,108,68,63,49,24,18,5,0,186,189,1,185,9,57,70,14,41,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,5,1,3,5,5,6,3,0,15,15,0,4,2,8,12,1,3
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
04/09/2020,576,25,158,9,83,102,104,129,74,40,35,0,257,311,8,175,24,209,84,29,55,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,2,5,12,17,35,32,31,24,0,68,84,6,29,6,87,28,6,2
04/19/2020,459,34,159,7,66,61,66,75,74,50,60,0,208,249,2,142,21,176,56,20,44,0,0,0,3,7,7,5,12,0,10,24,0,13,2,13,4,2,0,2,13,8,16,36,29,29,26,0,70,88,1,56,7,61,23,9,3
08/03/2020,428,3,31,53,128,87,68,47,24,14,7,0,216,210,2,216,10,70,72,17,43,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,2,4,10,3,7,3,0,9,21,1,9,2,13,5,2,0
06/19/2020,218,15,38,28,69,38,28,24,16,9,6,0,112,103,3,90,2,50,27,9,40,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,3,4,2,6,7,8,4,4,0,19,19,0,12,0,19,5,1,1
03/02/2021,331,7,27,46,105,64,43,31,25,11,6,0,183,144,4,78,18,51,88,16,80,0,0,0,0,1,0,2,4,0,4,3,0,4,1,2,0,0,0,0,2,1,5,5,3,8,3,0,14,13,0,14,1,7,4,0,1
08/25/2020,412,4,32,52,120,75,69,50,27,9,9,1,223,185,4,181,7,60,88,18,58,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,4,3,9,6,4,2,0,15,17,0,8,0,12,8,3,1
02/17/2021,387,8,32,37,118,69,72,47,24,10,10,0,195,190,2,105,8,75,100,17,82,0,0,0,0,1,2,2,3,0,2,6,0,1,0,2,4,0,1,1,2,1,5,6,8,6,3,0,14,18,0,6,0,17,8,1,0
01/19/2021,1093,20,67,143,267,206,169,124,92,60,32,0,556,536,1,399,38,179,226,61,190,0,0,0,0,3,5,5,7,0,6,14,0,5,2,8,5,0,0,3,3,5,7,13,9,14,13,0,31,36,0,20,3,30,10,2,2
11/02/2020,2317,15,118,271,552,507,371,312,186,71,47,0,1186,1121,10,769,49,311,444,102,642,0,0,0,0,0,2,5,8,0,6,9,0,1,1,5,8,0,0,2,7,13,17,26,21,15,17,0,58,60,0,32,3,44,25,4,10
01/27/2021,658,13,47,75,147,130,102,93,61,34,16,0,337,319,2,178,25,124,134,34,163,0,0,0,0,0,3,3,7,0,4,9,0,2,1,7,3,0,0,0,4,4,4,6,7,16,6,0,27,20,0,11,1,15,14,2,4
11/15/2020,831,13,131,85,190,161,137,110,84,35,28,1,441,390,0,218,23,125,224,57,184,0,0,0,0,0,5,4,4,0,7,6,0,7,1,4,1,0,0,4,10,11,18,13,25,27,23,0,71,60,0,45,2,56,19,5,4
11/09/2020,3219,14,157,386,829,617,529,426,250,117,65,0,1620,1579,20,1177,68,420,659,142,753,0,0,0,0,1,3,7,3,0,5,9,0,6,0,0,8,0,0,1,5,16,17,28,34,35,21,0,79,78,0,45,6,59,34,3,10
06/13/2020,121,18,25,13,26,19,14,22,14,7,6,0,66,55,0,47,0,22,14,9,29,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,1,3,1,7,2,5,1,5,0,15,10,0,10,0,9,5,1,0
08/01/2020,140,5,22,7,45,27,17,24,11,6,3,0,69,71,0,48,0,31,31,6,24,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,4,2,6,4,0,4,2,0,11,11,0,9,0,10,2,0,1
05/12/2020,944,46,128,64,178,177,182,163,92,50,38,0,494,446,4,443,10,171,101,23,196,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,1,11,15,11,28,26,17,19,0,64,63,1,51,3,49,18,2,5
08/06/2020,349,4,23,39,112,73,52,31,22,11,9,0,179,169,1,139,6,82,78,13,31,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,2,6,1,1,6,2,1,4,0,13,10,0,6,0,9,6,1,1
12/22/2020,1344,17,91,177,305,251,196,164,151,64,36,0,700,642,2,466,50,185,261,66,316,0,0,0,1,2,2,8,4,0,7,10,0,2,3,8,4,0,0,0,5,7,11,11,20,21,16,0,47,44,0,23,1,38,16,6,7
09/16/2020,366,4,33,47,120,78,49,34,25,10,3,0,203,163,0,169,6,54,89,4,44,0,0,0,0,0,2,1,1,0,3,1,0,1,0,1,2,0,0,1,4,2,3,0,13,6,4,0,23,10,0,11,0,9,9,1,3
02/08/2021,392,13,57,47,73,67,64,53,44,19,25,0,212,177,3,96,18,89,89,20,80,0,0,2,2,2,2,3,2,0,6,7,0,5,1,2,5,0,0,1,9,7,3,6,3,16,12,0,34,23,0,13,1,21,15,4,3
02/23/2021,315,11,17,31,91,63,36,49,25,13,7,0,157,156,2,76,13,67,73,14,72,0,0,0,1,2,2,3,3,0,4,7,0,3,0,4,4,0,0,0,3,1,3,4,2,2,2,0,12,5,0,2,1,7,5,1,1
09/05/2020,203,4,23,23,61,40,34,21,17,6,1,0,94,109,0,84,3,26,48,5,37,0,0,1,0,1,0,1,1,0,1,3,0,2,0,2,0,0,0,0,1,3,4,5,5,2,3,0,15,8,0,7,0,6,8,1,1
08/23/2020,129,1,26,10,42,17,23,15,12,8,2,0,71,58,0,39,1,26,42,5,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,2,5,4,3,4,3,0,9,17,0,10,0,6,7,2,1
01/15/2021,1035,11,61,129,265,199,177,116,80,47,22,0,529,491,15,285,39,194,254,72,191,0,0,0,1,2,2,2,4,0,5,6,0,2,1,5,3,0,0,1,4,5,8,10,15,11,7,0,36,25,0,18,1,23,15,2,2
03/23/2020,290,3,107,4,46,55,53,56,30,35,11,0,141,149,0,37,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,5,16,13,18,18,26,10,0,51,55,1,17,5,67,12,5,1
08/11/2020,386,4,27,48,103,74,66,48,37,7,3,0,185,199,2,163,5,78,79,16,45,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,1,0,3,1,4,10,4,4,0,17,9,1,4,0,10,11,1,1
